1&1DE;DRI.DE
SIXT SE ST.O.N; SIX2.DE
Daimler Truck Hold;DTG.DE
Aixtron Se Na O.N.;AIXA.DE
Alxtron Se NaO.N.;AIXA.DE
home24 se inh o.n.;h24.de
ADIDAS;ADS.DE
ADIDAS AG NA O.N.;ADS.DE
ADIDAS AG NA O.;ADS.DE
ALLIANZ;ALV.DE
ALLIANZ SE;ALV.DE
BASF;BAS.DE
BASF SE NA O.N.;BAS.DE
BAYER AG;BAYN.DE
BAYER AG NA;BAYN.DE
BAYER;BAYN.DE
BEIERSDORF;BEI.DE
BMW;BMW.DE
BAYERISCHE MOTOREN WERK;BMW.DE
BAYERISCHE MOTOREN WERKE AG;BMW.DE
BAYERISCHE MOT;BMW.DE
CONTINENTAL AG;CON.DE
CONTINENTAL A;CON.DE
CONTINENTAL;CON.DE
COVESTRO AG;1COV.DE
COMMERZBANK;CBK.DE
MERCEDES-BENZ GROUP;MBG.DE
DAX INDEX;DAX.DE
DAX;DAX.DE
DEUTSCHE BANK;DBK.DE
DEUTSCHE BANK AG;DBK.DE
DEUTSCHE BÖRSE;DB1.DE
DEUTSCHE BORSE;DB1.DE
DEUTSCHE POST;DPW.DE
DEUTSCHE POST AG;DPW.DE
DEUTSCHE TELEKOM;DTE.DE
DEUTSCHE TELEKOM AG;DTE.DE
DEUTSCHE TELEK;DTE.DE
draegerwerk vzo o.n.;DRW3.DE
E.ON AG;EOAN.DE
E.ON SE;EOAN.DE
eckert+ziegler ag o.n.;EUZ.DE
FRESENIUS MC;FME.DE
FRESENIUS Medical Care AG;FME.DE
FRESENIUS Medical Care AG & Co KGAA;FME.DE
FRESENIUS Medi;FME.DE
FRESENIUS SE;FRE.DE
FRESENIUS SE&Co KGAA;FRE.DE
FRESENIUS SE&C;FRE.DE
HEIDELBERGCEMENT;HEI.DE
HEIDELBERGCEMENT AG O.N.;HEI.DE
HEIDELBERGCE;HEI.DE
HENKEL;HEN3.DE
HENKEL AG&CO. KGAA;HEN3.DE
HENKEL AG&CO.;HEN3.DE
INFINEON;IFX.DE
INFINEON Technologies AG;IFX.DE
INFINEON Techn;IFX.DE
LINDE;LIN.DE
LINDE PLC EO 0,001;LIN.DE
LINDE PLC EO 0,0;LIN.DE
LUFTHANSA;LHA.DE
MERCK;MRK.DE
MERCK KGAA;MRK.DE
MÜNCHNER RÜCK;MUV2.DE
MUNCHNER RUCK;MUV2.DE
MUNCHNER RÜCK;MUV2.DE
MUENCHENER RUECKVERSICHE;MUV2.DE
MUENCHENER RUECKVERSICHERUNGS AG;MUV2.DE
MUENCHENER RU;MUV2.DE
RWE;RWE.DE
RWE AG INH O.N.;RWE.DE
SAP;SAP.DE
SAP SE;SAP.DE
SIEMENS;SIE.DE
SIEMENS AG;SIE.DE
THYSSEN KRUPP;TKA.DE
VOLKSWAGEN;VOW3.DE
VOLKSWAGEN AG;VOW3.DE
VONOVIA;VNA.DE
